station,evid,pickTime
ALMT,124001,2019-12-18 20:34:40.225
ALMT,124024,2020-01-04 23:13:15.528
ALMT,124067,2020-01-30 15:27:31.957
ALMT,124068,2020-01-30 18:53:20.999
ALMT,124121,2020-02-25 16:13:34.817
ALMT,124295,2020-04-15 19:54:14.713
ALMT,124349,2020-04-25 19:25:05.618
ALMT,124399,2020-05-11 02:38:28.681
ALMT,124408,2020-05-16 03:56:53.318
ALMT,124409,2020-05-16 03:58:11.241
ALMT,124464,2020-06-10 07:32:49.875
ALMT,124465,2020-06-10 07:33:26.884
ALMT,124505,2020-07-03 15:44:11.324
ALMT,124525,2020-07-28 03:14:22.405
ALMT,124618,2020-09-22 06:15:18.733
ALMT,124633,2020-10-04 00:18:49.441
ALMT,124638,2020-10-07 05:45:29.003
ALMT,124640,2020-10-07 16:09:54.877
ALMT,124660,2020-10-16 13:01:59.970
ALMT,124735,2020-11-10 18:18:55.221
ALMT,124761,2020-11-20 22:07:56.505
ALMT,124779,2020-11-30 10:32:11.830
ALMT,124797,2020-12-05 20:50:53.190
ALMT,124893,2021-01-05 18:23:55.661
ALMT,124933,2021-01-21 17:39:49.533
ALMT,124986,2021-02-12 21:21:04.576
ALMT,125082,2021-03-20 00:59:37.682
ALMT,125093,2021-03-24 16:01:35.115
ALMT,125100,2021-03-27 18:30:16.238
ALMT,125114,2021-04-06 04:00:27.551
ALMT,125210,2021-05-15 08:14:35.910
ALMT,125212,2021-05-17 15:28:52.655
ALMT,125226,2021-05-25 22:58:36.899
ALMT,125249,2021-06-05 11:23:12.959
ALMT,125354,2021-07-21 00:04:42.891
ALMT,125373,2021-08-01 23:57:52.945
ALMT,125393,2021-08-17 22:04:34.412
ALMT,125394,2021-08-18 06:26:25.793
ALMT,125462,2021-09-24 22:08:02.921
ALMT,125482,2021-09-30 20:21:46.801
ALMT,125521,2021-10-14 05:27:46.592
ALMT,125765,2022-01-08 23:25:23.427
ALMT,125777,2022-01-14 02:58:54.140
ALMT,125814,2022-01-22 23:13:54.958
ALMT,125821,2022-01-23 10:28:12.310
AMID,121992,2018-03-02 04:10:27.358
AMID,122022,2018-03-22 17:23:06.143
AMID,122033,2018-03-30 18:10:37.390
AMID,122047,2018-04-03 22:14:13.161
AMID,122049,2018-04-05 17:44:06.176
AMID,122068,2018-04-18 09:42:00.198
AMID,122070,2018-04-19 05:42:55.704
AMID,122073,2018-04-20 17:04:21.883
AMID,122102,2018-05-05 05:07:14.175
AMID,122103,2018-05-05 05:08:13.057
AMID,122125,2018-05-10 21:43:11.786
AMID,122129,2018-05-13 19:06:14.143
AMID,122138,2018-05-16 08:10:11.684
AMID,122164,2018-05-25 23:39:50.460
AMID,122180,2018-06-02 08:30:24.017
AMID,122186,2018-06-07 14:08:10.707
AMID,122220,2018-06-17 13:35:09.270
AMID,122239,2018-06-27 20:51:48.805
AMID,122246,2018-07-02 05:59:39.204
AMID,122247,2018-07-02 06:11:04.482
AMID,122249,2018-07-04 01:50:11.667
AMID,122250,2018-07-04 01:54:30.636
AMID,122251,2018-07-04 01:58:18.424
AMID,122253,2018-07-04 03:21:50.000
AMID,122256,2018-07-04 03:52:04.733
AMID,122260,2018-07-04 04:19:21.935
AMID,122261,2018-07-04 04:23:41.646
AMID,122266,2018-07-04 05:05:25.847
AMID,122273,2018-07-04 06:09:02.349
AMID,122279,2018-07-04 08:58:59.467
AMID,122280,2018-07-04 09:04:19.705
AMID,122283,2018-07-04 11:59:04.749
AMID,122284,2018-07-04 12:29:11.842
AMID,122289,2018-07-04 17:35:13.976
AMID,122303,2018-07-04 20:24:05.692
AMID,122304,2018-07-04 20:33:09.405
AMID,122306,2018-07-04 20:42:18.877
AMID,122320,2018-07-04 21:49:30.565
AMID,122321,2018-07-04 21:52:29.756
AMID,122325,2018-07-04 22:18:53.420
AMID,122326,2018-07-04 22:22:18.319
AMID,122343,2018-07-05 00:38:36.417
AMID,122348,2018-07-05 00:55:09.788
AMID,122358,2018-07-05 02:13:00.060
AMID,122369,2018-07-05 04:30:29.156
AMID,122382,2018-07-05 09:02:58.537
AMID,122385,2018-07-05 09:41:04.382
AMID,122416,2018-07-05 23:20:42.958
AMID,122445,2018-07-06 06:10:48.072
AMID,122448,2018-07-06 08:41:48.609
AMID,122451,2018-07-06 10:08:52.244
AMID,122452,2018-07-06 11:04:17.563
AMID,122453,2018-07-06 11:49:22.878
AMID,122455,2018-07-06 12:48:42.670
AMID,122459,2018-07-06 13:25:37.195
AMID,122473,2018-07-06 17:29:36.414
AMID,122474,2018-07-06 17:31:49.344
AMID,122475,2018-07-06 17:34:42.353
AMID,122478,2018-07-06 18:29:58.887
AMID,122483,2018-07-06 19:59:55.298
AMID,122484,2018-07-06 20:01:07.844
AMID,122487,2018-07-06 20:20:43.155
AMID,122488,2018-07-06 20:20:52.133
AMID,122494,2018-07-06 22:05:51.215
AMID,122495,2018-07-06 22:20:43.417
AMID,122510,2018-07-07 03:45:17.011
AMID,122523,2018-07-07 11:46:36.435
AMID,122524,2018-07-07 13:05:42.809
AMID,122525,2018-07-07 13:19:15.668
AMID,122533,2018-07-07 18:04:30.291
AMID,122535,2018-07-07 18:07:13.978
AMID,122540,2018-07-07 20:37:27.394
AMID,122541,2018-07-07 20:39:40.652
AMID,122555,2018-07-08 12:39:14.007
AMID,122570,2018-07-08 21:41:09.234
AMID,122574,2018-07-08 23:58:58.085
AMID,122575,2018-07-09 00:59:35.788
AMID,122580,2018-07-09 05:26:43.977
AMID,122619,2018-07-10 01:29:07.095
AMID,122622,2018-07-10 05:28:35.242
AMID,122641,2018-07-10 23:51:52.703
AMID,122647,2018-07-11 00:58:40.773
AMID,122656,2018-07-11 08:57:19.420
AMID,122679,2018-07-12 08:11:55.107
AMID,122692,2018-07-13 06:06:48.653
AMID,122700,2018-07-13 22:14:20.751
AMID,122705,2018-07-14 06:11:43.079
AMID,122707,2018-07-14 08:53:32.989
AMID,122713,2018-07-14 20:54:30.450
AMID,122737,2018-07-16 20:33:23.463
AMID,122745,2018-07-17 13:00:06.715
AMID,122746,2018-07-17 17:39:20.172
AMID,122761,2018-07-20 15:25:15.773
AMID,122762,2018-07-20 16:58:27.571
AMID,122767,2018-07-21 01:58:38.905
AMID,122778,2018-07-22 06:41:30.778
AMID,122779,2018-07-22 07:15:48.597
AMID,122780,2018-07-22 07:21:12.237
AMID,122789,2018-07-24 11:58:25.968
AMID,122795,2018-07-25 04:56:13.385
AMID,122798,2018-07-25 10:08:22.500
AMID,122802,2018-07-26 00:41:45.993
AMID,122808,2018-07-26 17:17:15.691
AMID,122809,2018-07-26 17:52:33.922
AMID,122825,2018-07-28 03:24:04.640
AMID,122826,2018-07-28 03:25:03.854
AMID,122831,2018-07-28 11:23:51.731
AMID,122846,2018-07-29 00:27:03.434
AMID,122855,2018-07-29 11:16:36.853
AMID,122861,2018-07-29 15:20:10.552
AMID,122862,2018-07-29 15:25:00.018
AMID,122870,2018-07-30 08:03:40.744
AMID,122872,2018-07-30 12:39:41.788
AMID,122874,2018-07-30 18:54:44.898
AMID,122888,2018-07-31 16:45:20.292
AMID,122902,2018-08-01 11:37:14.613
AMID,122904,2018-08-02 01:22:01.606
AMID,122913,2018-08-03 00:10:42.595
AMID,122933,2018-08-05 01:28:17.165
AMID,122934,2018-08-05 01:33:08.140
AMID,122936,2018-08-05 03:24:06.169
AMID,122952,2018-08-08 04:48:05.829
AMID,122957,2018-08-08 23:33:52.160
AMID,122961,2018-08-10 12:40:18.842
AMID,122968,2018-08-11 10:49:49.556
AMID,122974,2018-08-12 17:41:51.707
AMID,122979,2018-08-13 05:56:52.870
AMID,122987,2018-08-17 02:40:58.947
AMID,122988,2018-08-17 03:15:58.318
AMID,122989,2018-08-17 07:53:13.872
AMID,122996,2018-08-18 23:42:27.982
AMID,123008,2018-08-22 22:58:49.365
AMID,123018,2018-08-24 10:05:38.109
AMID,123025,2018-08-25 21:32:53.112
AMID,123037,2018-08-30 23:44:10.670
AMID,123039,2018-09-01 04:35:28.327
AMID,123064,2018-09-11 16:55:46.222
AMID,123078,2018-09-18 02:52:01.825
AMID,123079,2018-09-18 04:32:56.501
AMID,123093,2018-09-23 15:04:00.249
AMID,123128,2018-10-02 02:44:30.894
AMID,123129,2018-10-02 04:47:58.345
AMID,123151,2018-10-08 20:01:14.365
AMID,123180,2018-10-16 06:51:15.623
AMID,123184,2018-10-17 22:59:32.932
AMID,123196,2018-10-20 22:30:54.228
AMID,123204,2018-10-27 08:41:26.020
AMID,123206,2018-10-28 01:18:50.763
AMID,123208,2018-10-28 18:03:22.252
AMID,123231,2018-11-04 15:06:26.138
AMID,123257,2018-11-13 00:56:32.557
AMID,123258,2018-11-13 16:54:22.633
AMID,123262,2018-11-16 15:22:43.184
AMID,123266,2018-11-18 18:05:02.653
AMID,123274,2018-11-22 14:14:03.780
AMID,123325,2018-12-26 00:54:01.809
AMID,123341,2018-12-31 19:11:05.922
AMID,123342,2019-01-01 21:08:31.982
AMID,123343,2019-01-03 00:49:00.322
AMID,123369,2019-01-22 23:38:56.618
AMID,123388,2019-02-02 12:03:56.820
AMID,123403,2019-02-10 03:02:02.870
AMID,123438,2019-03-12 23:52:57.606
AMID,123448,2019-03-19 05:56:01.907
AMID,123455,2019-03-25 20:34:49.056
AMID,123467,2019-04-01 01:27:01.194
AMID,123471,2019-04-04 12:26:13.820
AMID,123541,2019-05-17 02:15:51.928
AMID,123549,2019-05-19 14:47:41.462
AMID,123551,2019-05-20 00:23:04.344
AMID,123704,2019-07-24 03:35:09.301
AMID,123714,2019-08-03 00:26:02.249
AMID,123737,2019-08-21 23:45:01.501
AMID,123740,2019-08-24 05:30:11.653
AMID,123744,2019-08-25 05:49:38.182
AMID,123768,2019-09-14 16:27:08.886
AMID,123782,2019-09-23 01:41:21.457
AMID,123785,2019-09-24 00:48:36.560
AMID,123806,2019-10-06 05:15:05.823
AMID,123816,2019-10-10 18:53:41.154
AMID,123832,2019-10-15 19:16:04.489
AMID,123837,2019-10-18 14:12:29.762
AMID,123863,2019-11-01 18:40:44.903
AMID,123973,2019-12-06 18:54:55.858
AMID,123981,2019-12-09 23:05:45.077
AMID,124024,2020-01-04 23:13:16.574
AMID,124030,2020-01-09 05:22:20.945
AMID,124161,2020-03-15 12:14:37.852
AMID,124373,2020-05-05 16:19:13.038
AMID,124397,2020-05-10 10:26:41.240
AMID,124452,2020-06-05 05:57:43.778
AMID,124505,2020-07-03 15:44:13.494
AMID,124514,2020-07-12 18:00:44.795
AMID,124540,2020-08-11 08:40:31.079
AMID,124562,2020-08-26 20:34:18.909
AMID,124570,2020-08-30 02:57:28.326
AMID,124635,2020-10-04 11:25:14.011
AMID,124638,2020-10-07 05:45:28.077
AMID,124640,2020-10-07 16:09:51.746
AMID,124645,2020-10-09 10:13:45.238
AMID,124649,2020-10-10 22:21:16.095
AMID,124657,2020-10-15 18:55:13.786
AMID,124660,2020-10-16 13:01:58.729
AMID,124704,2020-11-02 03:22:09.366
AMID,124725,2020-11-08 23:36:00.670
AMID,124735,2020-11-10 18:18:54.350
AMID,124745,2020-11-12 06:05:20.802
AMID,124825,2020-12-14 07:58:19.672
AMID,124833,2020-12-16 22:30:37.384
AMID,124860,2020-12-26 21:09:40.727
AMID,124871,2020-12-30 22:10:30.982
AMID,124902,2021-01-09 13:51:46.953
AMID,124939,2021-01-23 17:35:06.134
AMID,124967,2021-02-05 23:46:12.533
AMID,124975,2021-02-07 15:15:18.832
AMID,124986,2021-02-12 21:21:07.735
AMID,124987,2021-02-13 03:16:15.018
AMID,125023,2021-02-27 12:09:07.425
AMID,125066,2021-03-13 03:06:20.698
AMID,125082,2021-03-20 00:59:36.552
AMID,125086,2021-03-21 01:50:34.951
AMID,125095,2021-03-26 08:08:51.103
AMID,125111,2021-04-05 18:42:38.362
AMID,125136,2021-04-13 19:54:50.144
AMID,125160,2021-04-22 19:05:12.892
AMID,125212,2021-05-17 15:28:53.704
AMID,125231,2021-05-27 17:40:30.576
AMID,125272,2021-06-11 19:22:17.206
AMID,125295,2021-06-20 11:11:10.557
AMID,125306,2021-06-25 06:31:44.880
AMID,125319,2021-07-02 13:28:13.498
AMID,125322,2021-07-04 22:49:04.619
AMID,125354,2021-07-21 00:04:42.294
AMID,125387,2021-08-10 19:23:26.971
AMID,125389,2021-08-13 22:32:52.452
AMID,125393,2021-08-17 22:04:31.085
AMID,125462,2021-09-24 22:08:03.732
AMID,125471,2021-09-27 00:07:04.835
AMID,125477,2021-09-29 14:19:03.917
AMID,125482,2021-09-30 20:21:47.262
AMID,125497,2021-10-06 03:18:49.958
AMID,125558,2021-10-24 19:19:52.836
AMID,125623,2021-11-13 16:19:49.414
AMID,125638,2021-11-16 21:49:57.188
AMID,125652,2021-11-26 03:02:42.054
AMID,125690,2021-12-13 14:41:05.260
AMID,125696,2021-12-16 02:50:56.184
AMID,125710,2021-12-20 05:35:37.114
AMID,125729,2021-12-29 03:13:30.289
AMID,125732,2021-12-29 15:57:44.175
AMID,125733,2021-12-31 00:08:48.779
AMID,125737,2021-12-31 09:25:29.372
AMID,125777,2022-01-14 02:58:58.121
AMID,125793,2022-01-20 18:31:26.495
AMID,125814,2022-01-22 23:13:51.907
DSHN,123319,2018-12-23 11:38:48.633
DSHN,123323,2018-12-25 00:16:47.504
DSHN,123393,2019-02-05 18:55:42.650
DSHN,123399,2019-02-08 02:36:23.499
DSHN,123403,2019-02-10 03:02:07.462
DSHN,123482,2019-04-15 17:00:24.911
DSHN,123522,2019-05-07 08:58:56.957
DSHN,123571,2019-05-28 10:04:58.810
DSHN,123593,2019-06-09 03:40:50.743
DSHN,123664,2019-07-02 00:15:49.434
DSHN,123674,2019-07-05 19:55:29.362
DSHN,123711,2019-07-30 22:57:01.990
DSHN,123740,2019-08-24 05:30:12.851
DSHN,123744,2019-08-25 05:49:38.260
DSHN,123759,2019-09-06 17:57:18.507
DSHN,123762,2019-09-10 20:00:50.503
DSHN,123763,2019-09-10 20:06:36.061
DSHN,123768,2019-09-14 16:27:04.786
DSHN,123782,2019-09-23 01:41:18.593
DSHN,123838,2019-10-18 18:31:50.289
DSHN,123859,2019-10-31 11:35:02.711
DSHN,123864,2019-11-02 02:06:26.033
DSHN,123911,2019-11-17 19:56:57.639
DSHN,123950,2019-11-28 21:42:56.289
DSHN,123967,2019-12-05 15:47:53.600
DSHN,124013,2019-12-26 22:05:36.576
DSHN,124016,2019-12-28 22:04:49.307
DSHN,124034,2020-01-13 11:27:38.636
DSHN,124096,2020-02-06 20:53:34.175
DSHN,124156,2020-03-13 04:00:00.736
DSHN,124204,2020-04-02 00:53:18.026
DSHN,124205,2020-04-02 01:12:23.311
DSHN,124206,2020-04-02 01:12:27.615
DSHN,124208,2020-04-02 04:40:44.004
DSHN,124209,2020-04-02 09:37:13.448
DSHN,124211,2020-04-02 15:57:59.524
DSHN,124212,2020-04-02 16:55:08.027
DSHN,124213,2020-04-02 16:56:51.323
DSHN,124214,2020-04-02 17:01:52.094
DSHN,124215,2020-04-02 17:21:22.565
DSHN,124219,2020-04-02 18:33:15.852
DSHN,124220,2020-04-02 20:41:49.073
DSHN,124221,2020-04-03 09:11:54.723
DSHN,124222,2020-04-03 09:12:28.625
DSHN,124223,2020-04-03 09:13:47.566
DSHN,124224,2020-04-03 09:35:24.595
DSHN,124225,2020-04-03 10:16:21.750
DSHN,124226,2020-04-03 15:12:40.300
DSHN,124227,2020-04-03 15:47:53.679
DSHN,124228,2020-04-04 00:30:17.375
DSHN,124229,2020-04-04 00:47:17.171
DSHN,124230,2020-04-04 00:54:52.663
DSHN,124231,2020-04-04 01:19:03.865
DSHN,124232,2020-04-04 01:27:12.898
DSHN,124236,2020-04-04 04:35:02.822
DSHN,124237,2020-04-04 05:03:49.901
DSHN,124239,2020-04-04 05:56:33.942
DSHN,124240,2020-04-04 06:07:41.271
DSHN,124241,2020-04-04 06:09:50.758
DSHN,124242,2020-04-04 10:35:42.838
DSHN,124244,2020-04-04 14:07:39.102
DSHN,124245,2020-04-04 14:10:28.619
DSHN,124246,2020-04-04 14:58:55.355
DSHN,124249,2020-04-04 18:37:55.337
DSHN,124251,2020-04-04 20:03:32.790
DSHN,124253,2020-04-04 23:02:51.072
DSHN,124254,2020-04-04 23:36:17.667
DSHN,124256,2020-04-05 14:10:08.625
DSHN,124259,2020-04-05 18:10:36.227
DSHN,124260,2020-04-05 18:28:46.732
DSHN,124261,2020-04-05 18:32:02.757
DSHN,124263,2020-04-05 22:40:28.324
DSHN,124264,2020-04-05 23:49:40.804
DSHN,124265,2020-04-05 23:57:29.390
DSHN,124268,2020-04-07 19:54:51.339
DSHN,124269,2020-04-07 20:35:38.842
DSHN,124270,2020-04-07 23:14:22.820
DSHN,124373,2020-05-05 16:19:09.502
DSHN,124426,2020-05-26 00:52:55.665
DSHN,124452,2020-06-05 05:57:43.412
DSHN,124460,2020-06-09 06:06:15.930
DSHN,124480,2020-06-17 21:38:35.906
DSHN,124483,2020-06-18 13:39:00.062
DSHN,124484,2020-06-18 13:48:29.098
DSHN,124500,2020-06-29 14:31:20.293
DSHN,124512,2020-07-11 02:44:04.665
DSHN,124521,2020-07-23 09:36:09.961
DSHN,124540,2020-08-11 08:40:30.921
DSHN,124558,2020-08-23 13:33:29.057
DSHN,124582,2020-09-03 22:04:53.627
DSHN,124640,2020-10-07 16:09:54.931
DSHN,124652,2020-10-13 17:24:28.690
DSHN,124657,2020-10-15 18:55:14.965
DSHN,124695,2020-10-30 18:44:49.888
DSHN,124788,2020-12-04 02:06:21.991
DSHN,124825,2020-12-14 07:58:16.936
DSHN,124856,2020-12-25 23:08:02.346
DSHN,124871,2020-12-30 22:10:28.295
DSHN,124890,2021-01-03 15:57:54.082
DSHN,124908,2021-01-13 22:51:18.897
DSHN,125033,2021-03-02 09:21:06.187
DSHN,125046,2021-03-05 23:54:49.957
DSHN,125058,2021-03-10 17:40:22.265
DSHN,125086,2021-03-21 01:50:37.019
DSHN,125096,2021-03-26 10:18:57.531
DSHN,125111,2021-04-05 18:42:40.236
DSHN,125156,2021-04-19 23:11:43.043
DSHN,125176,2021-05-01 04:25:58.496
DSHN,125195,2021-05-10 03:30:35.855
DSHN,125207,2021-05-14 04:46:58.036
DSHN,125208,2021-05-14 07:57:43.104
DSHN,125231,2021-05-27 17:40:30.384
DSHN,125236,2021-05-30 20:34:02.790
DSHN,125272,2021-06-11 19:22:14.435
DSHN,125322,2021-07-04 22:49:01.435
DSHN,125323,2021-07-05 03:15:01.153
DSHN,125476,2021-09-28 20:22:47.141
DSHN,125478,2021-09-30 09:00:57.774
DSHN,125508,2021-10-10 14:05:21.364
DSHN,125519,2021-10-13 18:59:00.894
DSHN,125527,2021-10-16 13:09:01.906
DSHN,125530,2021-10-17 13:08:41.107
DSHN,125646,2021-11-20 00:52:41.230
DSHN,125690,2021-12-13 14:41:07.354
DSHN,125738,2021-12-31 17:04:12.343
DSHN,125762,2022-01-08 02:56:29.668
DSHN,125793,2022-01-20 18:31:23.517
ENGV,122070,2018-04-19 05:42:58.420
ENGV,122073,2018-04-20 17:04:24.642
ENGV,122251,2018-07-04 01:58:18.821
ENGV,122260,2018-07-04 04:19:23.440
ENGV,122272,2018-07-04 06:07:38.883
ENGV,122277,2018-07-04 07:30:45.306
ENGV,122278,2018-07-04 07:54:48.634
ENGV,122279,2018-07-04 08:59:01.246
ENGV,122280,2018-07-04 09:04:21.208
ENGV,122281,2018-07-04 10:52:00.959
ENGV,122283,2018-07-04 11:59:06.329
ENGV,122284,2018-07-04 12:29:12.192
ENGV,122289,2018-07-04 17:35:15.870
ENGV,122291,2018-07-04 18:28:44.304
ENGV,122300,2018-07-04 20:05:00.655
ENGV,122303,2018-07-04 20:24:07.084
ENGV,122319,2018-07-04 21:38:24.855
ENGV,122320,2018-07-04 21:49:32.212
ENGV,122321,2018-07-04 21:52:31.478
ENGV,122326,2018-07-04 22:22:20.093
ENGV,122332,2018-07-04 23:01:31.238
ENGV,122335,2018-07-04 23:25:57.768
ENGV,122343,2018-07-05 00:38:38.223
ENGV,122349,2018-07-05 00:59:39.797
ENGV,122364,2018-07-05 04:00:09.376
ENGV,122378,2018-07-05 08:29:59.281
ENGV,122383,2018-07-05 09:14:12.009
ENGV,122407,2018-07-05 20:32:29.206
ENGV,122417,2018-07-05 23:41:32.620
ENGV,122426,2018-07-06 01:06:16.537
ENGV,122451,2018-07-06 10:08:53.817
ENGV,122456,2018-07-06 12:55:32.068
ENGV,122459,2018-07-06 13:25:36.981
ENGV,122488,2018-07-06 20:20:52.092
ENGV,122492,2018-07-06 21:36:35.437
ENGV,122495,2018-07-06 22:20:44.727
ENGV,122528,2018-07-07 17:22:36.183
ENGV,122545,2018-07-07 23:32:34.693
ENGV,122548,2018-07-08 01:03:55.587
ENGV,122553,2018-07-08 08:09:58.557
ENGV,122570,2018-07-08 21:41:10.827
ENGV,122571,2018-07-08 21:42:51.236
ENGV,122575,2018-07-09 00:59:35.488
ENGV,122580,2018-07-09 05:26:46.279
ENGV,122583,2018-07-09 06:03:24.539
ENGV,122595,2018-07-09 14:46:51.116
ENGV,122599,2018-07-09 18:37:04.900
ENGV,122603,2018-07-09 20:42:56.056
ENGV,122624,2018-07-10 12:56:32.229
ENGV,122638,2018-07-10 23:04:22.273
ENGV,122653,2018-07-11 07:51:44.470
ENGV,122664,2018-07-11 19:59:20.191
ENGV,122672,2018-07-12 00:43:03.730
ENGV,122677,2018-07-12 07:00:41.122
ENGV,122681,2018-07-12 11:43:11.777
ENGV,122688,2018-07-12 22:59:11.738
ENGV,122704,2018-07-14 01:54:12.974
ENGV,122711,2018-07-14 15:36:28.668
ENGV,122712,2018-07-14 17:11:52.038
ENGV,122722,2018-07-15 15:55:38.286
ENGV,122729,2018-07-16 02:41:32.255
ENGV,122737,2018-07-16 20:33:23.258
ENGV,122747,2018-07-17 18:01:42.422
ENGV,122749,2018-07-18 15:24:15.735
ENGV,122750,2018-07-18 20:49:34.850
ENGV,122762,2018-07-20 16:58:26.830
ENGV,122764,2018-07-20 18:53:00.969
ENGV,122768,2018-07-21 02:04:18.167
ENGV,122771,2018-07-21 07:46:13.329
ENGV,122778,2018-07-22 06:41:31.480
ENGV,122783,2018-07-22 19:34:35.242
ENGV,122802,2018-07-26 00:41:45.538
ENGV,122808,2018-07-26 17:17:14.712
ENGV,122809,2018-07-26 17:52:32.997
ENGV,122817,2018-07-27 11:56:43.580
ENGV,122818,2018-07-27 12:58:40.728
ENGV,122819,2018-07-27 13:38:11.156
ENGV,122820,2018-07-27 16:05:40.267
ENGV,122825,2018-07-28 03:24:07.069
ENGV,122826,2018-07-28 03:25:06.255
ENGV,122832,2018-07-28 14:53:04.040
ENGV,122836,2018-07-28 15:49:03.963
ENGV,122844,2018-07-28 23:52:39.097
ENGV,122847,2018-07-29 00:43:34.039
ENGV,122856,2018-07-29 11:59:56.933
ENGV,122869,2018-07-30 07:11:45.812
ENGV,122872,2018-07-30 12:39:40.711
ENGV,122881,2018-07-31 01:30:54.759
ENGV,122885,2018-07-31 16:25:34.482
ENGV,122890,2018-08-01 00:49:26.602
ENGV,122897,2018-08-01 03:17:54.237
ENGV,122902,2018-08-01 11:37:13.552
ENGV,122921,2018-08-04 03:07:15.865
ENGV,122922,2018-08-04 06:48:10.869
ENGV,122924,2018-08-04 08:21:32.500
ENGV,122926,2018-08-04 15:10:28.735
ENGV,122931,2018-08-05 00:49:16.953
ENGV,122936,2018-08-05 03:24:06.225
ENGV,122957,2018-08-08 23:33:53.921
ENGV,122978,2018-08-13 05:24:03.569
ENGV,123003,2018-08-21 15:16:03.982
ENGV,123025,2018-08-25 21:32:54.664
ENGV,123036,2018-08-30 23:24:10.407
ENGV,123039,2018-09-01 04:35:30.297
ENGV,123057,2018-09-05 21:53:17.695
ENGV,123079,2018-09-18 04:32:59.069
ENGV,123118,2018-09-29 13:36:07.241
ENGV,123142,2018-10-05 11:49:39.972
ENGV,123152,2018-10-09 03:15:14.202
ENGV,123205,2018-10-27 23:35:06.364
ENGV,123217,2018-11-01 15:02:09.736
ENGV,123231,2018-11-04 15:06:25.848
ENGV,123325,2018-12-26 00:54:02.079
ENGV,123388,2019-02-02 12:03:58.510
ENGV,123400,2019-02-08 06:19:24.593
ENGV,123471,2019-04-04 12:26:11.294
ENGV,123721,2019-08-06 23:43:16.168
ENGV,123835,2019-10-17 21:28:54.323
ENGV,124668,2020-10-18 12:00:09.741
ENGV,124779,2020-11-30 10:32:10.846
ENGV,124780,2020-11-30 10:35:17.409
ENGV,124860,2020-12-26 21:09:42.607
ENGV,124933,2021-01-21 17:39:47.655
ENGV,125023,2021-02-27 12:09:05.910
ENGV,125066,2021-03-13 03:06:24.738
